 Airline TicketPrice Month   Count
      AA     480.940     1  532170
      AA     481.100     2  532170
      AA     478.800     3  532170
      AA     477.050     4  532170
      AA     472.500     5  532170
      AA     468.800     6  532170
      AA     453.900     9  532170
      AA     452.100    10  532170
      AA     455.400    11  532170
      AA     471.000    12  532170
      AS     181.300     1  151718
      AS     178.200     2  151718
      AS     184.190     3  151718
      AS     180.880     4  151718
      AS     177.800     5  151718
      AS     175.680     6  151718
      AS     158.360     9  151718
      AS     160.950    10  151718
      AS     167.860    11  151718
      AS     170.560    12  151718
      B6     477.930     1  242576
      B6     481.715     2  242576
      B6     478.800     3  242576
      B6     478.450     4  242576
      B6     457.580     5  242576
      B6     461.055     6  242576
      B6     437.710     9  242576
      B6     439.600    10  242576
      B6     460.920    11  242576
      B6     466.180    12  242576
      DL     498.200     1  750289
      DL     492.840     2  750289
      DL     488.680     3  750289
      DL     479.700     4  750289
      DL     472.305     5  750289
      DL     480.190     6  750289
      DL     460.800     9  750289
      DL     461.380    10  750289
      DL     465.450    11  750289
      DL     486.400    12  750289
      EV     275.000     1  695725
      EV     279.180     2  695725
      EV     278.000     3  695725
      EV     280.340     4  695725
      EV     282.080     5  695725
      EV     281.870     6  695725
      EV     265.200     9  695725
      EV     266.800    10  695725
      EV     271.450    11  695725
      EV     271.920    12  695725
      MQ     274.850     1  407720
      MQ     279.450     2  407720
      MQ     267.750     3  407720
      MQ     264.000     4  407720
      MQ     259.000     5  407720
      MQ     259.000     6  407720
      MQ     264.600     9  407720
      MQ     262.200    10  407720
      MQ     265.650    11  407720
      MQ     277.200    12  407720
      OO     262.800     1  599244
      OO     262.550     2  599244
      OO     265.300     3  599244
      OO     258.155     4  599244
      OO     256.500     5  599244
      OO     259.200     6  599244
      OO     251.230     9  599244
      OO     250.920    10  599244
      OO     255.200    11  599244
      OO     256.195    12  599244
      UA     858.600     1  486426
      UA     854.170     2  486426
      UA     871.520     3  486426
      UA     877.550     4  486426
      UA     868.460     5  486426
      UA     894.240     6  486426
      UA     848.460     9  486426
      UA     842.215    10  486426
      UA     848.160    11  486426
      UA     872.910    12  486426
      US     478.800     1  409420
      US     477.000     2  409420
      US     486.720     3  409420
      US     474.260     4  409420
      US     477.840     5  409420
      US     483.840     6  409420
      US     447.395     9  409420
      US     451.240    10  409420
      US     460.800    11  409420
      US     469.730    12  409420
      WN     122.100     1 1132222
      WN     122.400     2 1132222
      WN     122.850     3 1132222
      WN     121.550     4 1132222
      WN     120.900     5 1132222
      WN     122.100     6 1132222
      WN     106.500     9 1132222
      WN     109.200    10 1132222
      WN     113.400    11 1132222
      WN     113.750    12 1132222
