 Airline TicketPrice Month   Count
      AA    513.6958     1 1115470
      AA    505.0352     2 1115470
      AA    503.9141     3 1115470
      AA    500.7829     4 1115470
      AA    499.6450     5 1115470
      AA    496.0585     6 1115470
      AA    496.2525     7 1115470
      AA    495.6280     8 1115470
      AA    491.5358     9 1115470
      AA    491.1370    10 1115470
      AA    498.4796    11 1115470
      AA    508.9452    12 1115470
      AS    215.9325     1  327324
      AS    206.4173     2  327324
      AS    207.8955     3  327324
      AS    203.3240     4  327324
      AS    199.8558     5  327324
      AS    198.1468     6  327324
      AS    196.4597     7  327324
      AS    195.3910     8  327324
      AS    196.3271     9  327324
      AS    199.1869    10  327324
      AS    207.3929    11  327324
      AS    208.8952    12  327324
      B6    512.7124     1  511720
      B6    505.4247     2  511720
      B6    503.7900     3  511720
      B6    505.6446     4  511720
      B6    499.3915     5  511720
      B6    501.7097     6  511720
      B6    495.6742     7  511720
      B6    496.6299     8  511720
      B6    486.2051     9  511720
      B6    489.9453    10  511720
      B6    499.1464    11  511720
      B6    506.3557    12  511720
      DL    589.0090     1 1609477
      DL    582.6636     2 1609477
      DL    578.1361     3 1609477
      DL    570.4682     4 1609477
      DL    563.3474     5 1609477
      DL    568.8243     6 1609477
      DL    574.0645     7 1609477
      DL    571.2580     8 1609477
      DL    551.8773     9 1609477
      DL    553.4713    10 1609477
      DL    554.2022    11 1609477
      DL    580.1084    12 1609477
      EV    297.9501     1 1472944
      EV    294.8971     2 1472944
      EV    294.0838     3 1472944
      EV    292.8560     4 1472944
      EV    292.5557     5 1472944
      EV    291.6759     6 1472944
      EV    292.3551     7 1472944
      EV    290.3007     8 1472944
      EV    289.5936     9 1472944
      EV    291.4580    10 1472944
      EV    296.5891    11 1472944
      EV    298.1951    12 1472944
      MQ    294.3733     1  855669
      MQ    297.5327     2  855669
      MQ    293.4099     3  855669
      MQ    286.3941     4  855669
      MQ    283.6395     5  855669
      MQ    282.7807     6  855669
      MQ    283.5599     7  855669
      MQ    282.3219     8  855669
      MQ    280.4813     9  855669
      MQ    278.2770    10  855669
      MQ    282.1356    11  855669
      MQ    287.9211    12  855669
      OO    291.9896     1 1279696
      OO    283.5065     2 1279696
      OO    284.4915     3 1279696
      OO    281.3750     4 1279696
      OO    280.2709     5 1279696
      OO    280.9323     6 1279696
      OO    283.0676     7 1279696
      OO    282.5137     8 1279696
      OO    283.6134     9 1279696
      OO    284.1166    10 1279696
      OO    289.8498    11 1279696
      OO    292.8547    12 1279696
      UA    953.6063     1 1034846
      UA    933.1583     2 1034846
      UA    948.6000     3 1034846
      UA    960.9707     4 1034846
      UA    959.0428     5 1034846
      UA    977.2250     6 1034846
      UA    981.0997     7 1034846
      UA    972.7206     8 1034846
      UA    943.5187     9 1034846
      UA    938.1453    10 1034846
      UA    946.6286    11 1034846
      UA    971.2059    12 1034846
      US    581.5640     1  858803
      US    568.5524     2  858803
      US    577.3770     3  858803
      US    567.1036     4  858803
      US    573.9764     5  858803
      US    579.8884     6  858803
      US    578.7700     7  858803
      US    575.5207     8  858803
      US    555.6638     9  858803
      US    557.4305    10  858803
      US    567.3927    11  858803
      US    577.3135    12  858803
      WN    145.0429     1 2395072
      WN    138.7000     2 2395072
      WN    139.5899     3 2395072
      WN    138.0367     4 2395072
      WN    137.2579     5 2395072
      WN    139.2600     6 2395072
      WN    139.8489     7 2395072
      WN    137.4180     8 2395072
      WN    135.5192     9 2395072
      WN    137.8268    10 2395072
      WN    142.0418    11 2395072
      WN    142.1930    12 2395072
