 Airline TicketPrice Month   Count
      AS      181.30     1  151718
      AS      178.20     2  151718
      AS      184.19     3  151718
      AS      180.88     4  151718
      AS      177.80     5  151718
      AS      175.68     6  151718
      AS      158.36     9  151718
      AS      160.95    10  151718
      AS      167.86    11  151718
      AS      170.56    12  151718
      UA      858.60     1  486426
      UA      854.17     2  486426
      UA      871.52     3  486426
      UA      877.56     4  486426
      UA      868.46     5  486426
      UA      894.24     6  486426
      UA      848.46     9  486426
      UA      842.24    10  486426
      UA      848.16    11  486426
      UA      872.91    12  486426
      EV      275.00     1  695725
      EV      279.18     2  695725
      EV      278.00     3  695725
      EV      280.34     4  695725
      EV      282.08     5  695725
      EV      281.87     6  695725
      EV      265.20     9  695725
      EV      266.80    10  695725
      EV      271.45    11  695725
      EV      271.92    12  695725
      B6      477.93     1  242576
      B6      481.74     2  242576
      B6      478.80     3  242576
      B6      478.50     4  242576
      B6      457.58     5  242576
      B6      461.07     6  242576
      B6      437.71     9  242576
      B6      439.60    10  242576
      B6      460.92    11  242576
      B6      466.18    12  242576
      DL      498.20     1  750289
      DL      492.84     2  750289
      DL      488.70     3  750289
      DL      479.70     4  750289
      DL      472.32     5  750289
      DL      480.20     6  750289
      DL      460.80     9  750289
      DL      461.38    10  750289
      DL      465.45    11  750289
      DL      486.40    12  750289
      AA      480.94     1  532170
      AA      481.10     2  532170
      AA      478.80     3  532170
      AA      477.05     4  532170
      AA      472.50     5  532170
      AA      468.80     6  532170
      AA      453.90     9  532170
      AA      452.10    10  532170
      AA      455.40    11  532170
      AA      471.00    12  532170
      OO      262.80     1  599244
      OO      262.55     2  599244
      OO      265.30     3  599244
      OO      258.18     4  599244
      OO      256.50     5  599244
      OO      259.20     6  599244
      OO      251.23     9  599244
      OO      250.92    10  599244
      OO      255.20    11  599244
      OO      256.20    12  599244
      US      478.80     1  409420
      US      477.00     2  409420
      US      486.72     3  409420
      US      474.28     4  409420
      US      477.84     5  409420
      US      483.84     6  409420
      US      447.44     9  409420
      US      451.24    10  409420
      US      460.80    11  409420
      US      469.73    12  409420
      WN      122.10     1 1132222
      WN      122.40     2 1132222
      WN      122.85     3 1132222
      WN      121.55     4 1132222
      WN      120.90     5 1132222
      WN      122.10     6 1132222
      WN      106.50     9 1132222
      WN      109.20    10 1132222
      WN      113.40    11 1132222
      WN      113.75    12 1132222
      MQ      274.85     1  407720
      MQ      279.45     2  407720
      MQ      267.75     3  407720
      MQ      264.00     4  407720
      MQ      259.00     5  407720
      MQ      259.00     6  407720
      MQ      264.60     9  407720
      MQ      262.20    10  407720
      MQ      265.65    11  407720
      MQ      277.20    12  407720
